FASITEC DESENVOLVIMENTO E TECNOLOGIA LTDA;;;;;;;;;;;;;;;;;;;;;;;;;;Página:;;1/235;;
CNPJ:;;00483195000178;;;;;;;;;;;;;;;;;;;;;;;;Emissão:;;27/06/2025;;
Período:;;01/01/2024;;;;;;a;;31/12/2024;;;;;;;;;;;;;;;;Hora:;;14:23:05;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RETENÇÕES A COMPENSAR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Código;;;;;Imposto;;;;;;Nota;;Tipo;;Data;;Valor Contábil;;Retenção;;;;;;;;Cód. Rec.
Cliente:;;;;;2;;;;;;CAIXA ECONOMICA FEDERAL;;;;;;;;;;;CNPJ:;;;00360305005920;;;;;
;;;16;;;;;IRRF;;;;;;202400000000179;;Serviço;;01/01/2024;;3.215,52;;154,34;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000180;;Serviço;;01/01/2024;;3.136,33;;150,54;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000181;;Serviço;;01/01/2024;;771,97;;37,05;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000182;;Serviço;;01/01/2024;;699,15;;33,56;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000183;;Serviço;;01/01/2024;;2.784,45;;133,65;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000184;;Serviço;;01/01/2024;;1.382,25;;66,35;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000185;;Serviço;;01/01/2024;;3.740,65;;179,55;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000186;;Serviço;;01/01/2024;;1.909,98;;91,68;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000187;;Serviço;;01/01/2024;;723,52;;34,73;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000188;;Serviço;;01/01/2024;;686,85;;32,97;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000189;;Serviço;;01/01/2024;;500,00;;24,00;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000190;;Serviço;;01/01/2024;;348,00;;16,70;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000191;;Serviço;;01/01/2024;;1.667,25;;80,03;;;;;;;;170806
;;;16;;;;;IRRF;;;;;;202400000000192;;Serviço;;01/01/2024;;1.620,00;;77,76;;;;;;;;170806
